DimB_SK,businessname,dbaname,legalowner,namelast,namefirst,address,city,state,zip,property_id,dayphn,Latitude,Longitude,BusinessConcat
3002456,Suya Joint,,S M I L E PRE-SCHOOL INC,Lizotte Owner,Cecelia,185  Dudley ST,Roxbury,MA,02119,49641,+15084466746,42.32832,-71.08196,Suya JointLizotte OwnerCecelia49641
3002457,Sweet Boba,,MOSQUERA L EMILIO,Shallots Inc.,Att: Accounts Payable,9   William C Kelly SQ,East Boston,MA,02128,151130,+10000000000,42.37451,-71.038828,Sweet BobaShallots Inc.Att: Accounts Payable151130
3002458,Sweet Cheeks,,,Tiffani Faison,Sweet Cheeks,144   Brookline AVE,Boston,MA,02215,341545,+16172661300,42.34439,-71.101137,Sweet CheeksTiffani FaisonSweet Cheeks341545
3002459,"Sweet Cheeks/Fool's Errand",,,Faison,Tiffani,144   Brookline AVE,Boston,MA,02215,341545,+17812049313,42.34439,-71.101137,"Sweet Cheeks/Fool's ErrandFaisonTiffani341545"
3002460,Sweet Kingdom,,,Allston Sweet Kingdom LLC,"",145   Harvard AVE,Allston,MA,02134,160944,+16177820968,42.35206,-71.13211,Sweet KingdomAllston Sweet Kingdom LLC160944
3002461,Sweet Kingdom,,,CT Sweet Kingdom LLC,Minghui Chen,15  Beach ST,Boston,MA,02111,156243,+16177820968,42.35206,-71.13211,Sweet KingdomCT Sweet Kingdom LLCMinghui Chen156243
3002462,Sweet Kingdom,,,Sweet Kingdom L L C,"",145   Harvard AVE,Allston,MA,02134,160944,+16177820968,42.35206,-71.13211,Sweet KingdomSweet Kingdom L L C160944
3002463,Sweet Life Bakery and Cafe,,MARCEL MASSE,Sweetlife Cafe L L C,"",2243   Dorchester AVE,Dorchester,MA,02124,156564,+10000000000,42.273782,-71.06785,Sweet Life Bakery and CafeSweetlife Cafe L L C156564
3002464,Sweet Rice,,,Chairatthanawanit Pres.,Pichai,187  Main ST,Charlestown,MA,02129,352127,+16172425232,0,0,Sweet RiceChairatthanawanit Pres.Pichai352127
3002465,Sweet Rice,,,Sweet Rice JP Inc.,Att: Accounts Payable,695   Centre ST,Jamaica Plain,MA,02130,156049,+16172425232,0,0,Sweet RiceSweet Rice JP Inc.Att: Accounts Payable156049
3002466,Sweet Sip,,,Nguyen,Phuoc,285  Adams ST,Dorchester,MA,02122,421204,+18576548378,0,0,Sweet SipNguyenPhuoc421204
3002467,Sweet Waffles & Boba,,WONG JANEY,Quach,David,18  Hudson ST,Boston,MA,02111,75857,+18573896625,42.35052,-71.059999,Sweet Waffles & BobaQuachDavid75857
3002468,Sweetgreen,,GILLETTE CAFETERIA EDWARD C. COLEMAN,Jammet,Nicolas,800   Boylston ST,Boston,MA,02199,157244,+16033128613,0,0,SweetgreenJammetNicolas157244
3002469,Sweetgreen,,,Sweetgreen Boston L L C,"",364   Congress ST,Boston,MA,02210,42112,+16033128613,0,0,SweetgreenSweetgreen Boston L L C42112
3002470,Sweetgreen,,ACME-PREMIER REALTY CORP,Sweetgreen Boston LLC,"",60   State ST,Boston,MA,02109,130427,+16033128613,0,0,SweetgreenSweetgreen Boston LLC130427
3002471,Sweetgreen,,MINIAS AMGAD,Sweetgreen Boston LLC,"",87   Summer ST,Boston,MA,02110,157520,+16033128613,0,0,SweetgreenSweetgreen Boston LLC157520
3002472,Sweetgreen,,"",Sweetgreen Boston LLC,"",15   School ST,Boston,MA,02108,307105,+16033128613,0,0,SweetgreenSweetgreen Boston LLC307105
3002473,Sweetgreen,,,Sweetgreen Boston LLC,"",132  Brookline AVE,Boston,MA,02215,352095,+16033128613,0,0,SweetgreenSweetgreen Boston LLC352095
3002474,Sweetgreen,,SODEXHO OPERATIONS LLC LICENSING,Sweetgreen Boston LLC,Accounts Payable,225   Franklin ST,Boston,MA,02110,158047,+16033128613,0,0,SweetgreenSweetgreen Boston LLCAccounts Payable158047
3002475,Sweetgreen,,,Sweetgreen Boston LLC,Accounts Payable,23  Northern AVE,Boston,MA,02210,352651,+16033128613,0,0,SweetgreenSweetgreen Boston LLCAccounts Payable352651
3002476,Sweetgreen,,CVS.LIC. DEPT./T.FLUETTE,Sweetgreen Boston LLC,Att: Ariana Goldberg,350  Longwood AVE,Boston,MA,02115,156578,+16033128613,0,0,SweetgreenSweetgreen Boston LLCAtt: Ariana Goldberg156578
