DimB_SK,DimL_SK,DimV_SK,ViolationLevel
3000005,2001240,100043,2
3000005,2001240,100044,1
3000005,2001240,100049,3
3000005,2001240,100051,1
3000005,2001240,100054,3
3000005,2001240,100062,1
3000005,2001240,100064,1
3000005,2001240,100075,1
3000005,2001240,100166,3
3000005,2001240,100203,1
3000005,2001240,100206,2
3000005,2001240,100237,2
3000005,2001240,100260,1
3000006,2002484,100000,0
3000007,2000532,100000,0
3000007,2000532,100023,1
3000007,2000532,100032,1
3000007,2000532,100033,1
3000007,2000532,100035,1
3000007,2000532,100037,1
3000007,2000532,100041,3
3000007,2000532,100044,1
3000007,2000532,100058,1
3000007,2000532,100061,1
3000007,2000532,100062,1
3000007,2000532,100064,1
3000007,2000532,100070,3
3000007,2000532,100075,1
3000007,2000532,100086,3
3000007,2000532,100102,2
3000007,2000532,100181,1
3000007,2000532,100255,1
3000007,2000532,100300,1
3000007,2000532,100335,1
3000008,2000651,100000,0
3000008,2000651,100009,1
3000008,2000651,100013,3
3000008,2000651,100014,3
3000008,2000651,100021,3
3000008,2000651,100023,1
3000008,2000651,100025,1
3000008,2000651,100029,3
3000008,2000651,100031,1
3000008,2000651,100032,1
3000008,2000651,100033,1
3000008,2000651,100036,1
3000008,2000651,100037,1
3000008,2000651,100038,1
3000008,2000651,100041,3
3000008,2000651,100042,1
3000008,2000651,100043,2
3000008,2000651,100044,1
3000008,2000651,100045,1
3000008,2000651,100049,3
3000008,2000651,100051,1
3000008,2000651,100054,3
3000008,2000651,100055,1
3000008,2000651,100058,1
3000008,2000651,100060,2
3000008,2000651,100061,1
3000008,2000651,100062,1
3000008,2000651,100063,1
3000008,2000651,100064,1
3000008,2000651,100065,1
3000008,2000651,100066,1
3000008,2000651,100071,3
3000008,2000651,100075,1
3000008,2000651,100137,1
3000008,2000651,100168,2
3000008,2000651,100227,2
3000008,2000651,100304,2
3000008,2000651,100356,2
3000008,2000651,100408,1
3000008,2000651,100416,3
3000008,2000651,100417,3
3000008,2000651,100418,3
3000008,2000651,100420,3
3000009,2001784,100014,3
3000009,2001784,100021,3
3000009,2001784,100023,1
